	-1
elon	-1
s	5.04
world	6.52
do	5.76
you	6.24
think	6.2
i	5.92
m	5.06
insane	3.04
this	5.06
question	4.98
come	5.82
from	5.18
elon	-1
musk	-1
near	5.72
the	4.98
very	6.12
end	4.36
of	4.94
a	5.24
long	4.74
dinner	7.4
we	6.38
share	6.78
at	4.9
a	5.24
high	6.64
end	4.36
seafood	-1
restaurant	7.06
in	5.5
silicon	-1
valley	6.26
i	5.92
d	4.72
gotten	5.42
to	4.98
the	4.98
restaurant	7.06
first	6.82
and	5.22
settle	5.08
down	3.66
with	5.72
a	5.24
gin	5.9
and	5.22
tonic	-1
know	6.1
musk	-1
would	5.38
as	5.22
ever	5.42
be	5.68
late	3.46
after	5.08
about	5.16
fifteen	5.86
minute	5.5
musk	-1
show	6.24
up	6.14
wear	5.94
leather	5.56
shoe	5.84
designer	6.32
jean	5.82
and	5.22
a	5.24
plaid	-1
dress	6.6
shirt	6.26
musk	-1
stand	5.6
six	5.34
foot	5.02
one	5.4
but	4.24
ask	5.2
anyone	5.02
who	5.06
know	6.1
him	5.54
and	5.22
they	5.62
ll	4.82
confirm	-1
that	4.94
he	5.42
seem	5.24
much	5.74
big	6.22
than	4.74
that	4.94
he	5.42
s	5.04
absurdly	-1
broad	5.58
shoulder	5.46
sturdy	-1
and	5.22
thick	4.96
you	6.24
d	4.72
figure	5.5
he	5.42
would	5.38
use	5.64
this	5.06
frame	5.54
to	4.98
his	5.56
advantage	6.84
and	5.22
perform	6.48
an	4.84
alpha	-1
male	6.02
strut	-1
when	4.96
enter	5.84
a	5.24
room	5.52
instead	4.92
he	5.42
tends	5.64
to	4.98
be	5.68
almost	4.7
sheepish	-1
it	5.02
s	5.04
head	5.96
tilt	-1
slightly	4.8
down	3.66
while	5.12
walk	6.02
a	5.24
quick	6.02
handshake	-1
hello	7.0
after	5.08
reach	5.74
the	4.98
table	5.32
and	5.22
then	5.34
butt	5.1
in	5.5
seat	5.86
from	5.18
there	5.1
musk	-1
need	4.84
a	5.24
few	4.5
minute	5.5
before	5.1
he	5.42
warms	-1
up	6.14
and	5.22
look	5.54
at	4.9
ease	6.52
musk	-1
ask	5.2
me	6.58
to	4.98
dinner	7.4
for	5.22
a	5.24
negotiation	-1
of	4.94
sort	5.28
eighteen	6.24
month	5.18
earlier	5.4
i	5.92
d	4.72
inform	-1
him	5.54
of	4.94
my	6.16
plan	6.14
to	4.98
write	5.8
a	5.24
book	7.24
about	5.16
him	5.54
and	5.22
he	5.42
d	4.72
inform	-1
me	6.58
of	4.94
his	5.56
plan	6.14
not	3.86
to	4.98
cooperate	-1
his	5.56
rejection	2.02
stung	-1
but	4.24
thrust	5.67
me	6.58
into	5.04
dog	6.7
reporter	5.16
mode	5.28
if	4.66
i	5.92
have	5.82
to	4.98
do	5.76
this	5.06
book	7.24
without	3.54
him	5.54
so	5.08
be	5.68
it	5.02
plenty	6.98
of	4.94
people	6.16
have	5.82
left	4.64
musk	-1
s	5.04
company	5.44
tesla	-1
motor	5.48
and	5.22
spacex	-1
and	5.22
would	5.38
talk	6.06
and	5.22
i	5.92
already	5.28
knew	5.94
a	5.24
lot	5.78
of	4.94
his	5.56
friend	7.66
the	4.98
interview	5.06
follow	5.66
one	5.4
after	5.08
another	5.2
month	5.18
after	5.08
month	5.18
and	5.22
two	5.4
hundred	5.82
or	4.98
so	5.08
people	6.16
into	5.04
the	4.98
process	5.46
i	5.92
heard	5.36
from	5.18
musk	-1
once	4.94
again	5.42
he	5.42
call	5.74
me	6.58
at	4.9
home	7.14
and	5.22
declare	5.57
that	4.94
thing	5.58
could	5.52
go	5.54
one	5.4
of	4.94
two	5.4
way	5.24
he	5.42
could	5.52
