	-1
against	3.4
epiphany	-1
january	5.7
fifteen	5.86
month	5.18
before	5.1
launch	6.4
i	5.92
m	5.06
late	3.46
as	5.22
usual	5.22
it	5.02
s	5.04
only	4.92
a	5.24
three	5.72
minute	5.5
drive	6.08
to	4.98
the	4.98
parking	5.02
lot	5.78
where	5.02
i	5.92
meet	6.38
reed	5.26
hastings	-1
to	4.98
carpool	-1
to	4.98
work	5.24
but	4.24
when	4.96
your	5.6
son	7.12
throw	5.0
up	6.14
on	5.56
you	6.24
at	4.9
breakfast	6.86
and	5.22
you	6.24
can	5.62
t	4.84
find	6.0
your	5.6
key	5.82
and	5.22
it	5.02
s	5.04
rain	6.36
and	5.22
you	6.24
realize	5.84
at	4.9
the	4.98
last	3.74
minute	5.5
that	4.94
you	6.24
don	4.98
t	4.84
have	5.82
enough	5.46
gas	4.76
in	5.5
your	5.6
car	6.72
to	4.98
get	5.92
you	6.24
over	4.82
the	4.98
santa	6.8
cruz	-1
mountain	6.4
into	5.04
sunnyvale	-1
good	7.2
luck	7.26
with	5.72
make	6.0
a	5.24
a	5.24
m	5.06
meet	6.38
up	6.14
time	5.74
reed	5.26
run	5.48
a	5.24
company	5.44
call	5.74
pure	6.88
atrium	-1
that	4.94
make	6.0
software	6.3
development	6.38
tool	5.26
and	5.22
that	4.94
recently	5.44
acquire	6.36
a	5.24
startup	-1
i	5.92
help	6.08
found	6.54
integrity	6.74
qa	-1
after	5.08
reed	5.26
bought	6.3
our	6.08
company	5.44
he	5.42
kept	5.74
me	6.58
on	5.56
as	5.22
his	5.56
vp	5.02
of	4.94
corporate	4.7
marketing	5.2
we	6.38
take	5.18
turn	5.2
drive	6.08
we	6.38
usually	5.66
get	5.92
to	4.98
the	4.98
office	5.12
on	5.56
time	5.74
but	4.24
the	4.98
way	5.24
we	6.38
get	5.92
there	5.1
change	5.56
depend	5.24
on	5.56
who	5.06
s	5.04
drive	6.08
when	4.96
it	5.02
s	5.04
reed	5.26
s	5.04
turn	5.2
we	6.38
leave	4.52
on	5.56
time	5.74
in	5.5
an	4.84
immaculate	-1
toyota	5.92
avalon	-1
we	6.38
drive	6.08
the	4.98
speed	6.24
limit	4.22
sometimes	5.28
there	5.1
s	5.04
a	5.24
driver	5.7
a	5.24
kid	6.84
from	5.18
stanford	5.9
who	5.06
have	5.82
be	5.68
instruct	-1
to	4.98
navigate	-1
the	4.98
twist	5.21
mountainous	-1
turn	5.2
of	4.94
highway	5.48
with	5.72
care	6.64
and	5.22
precision	-1
drive	6.08
like	7.22
there	5.1
s	5.04
a	5.24
full	6.22
cup	5.66
of	4.94
coffee	7.18
on	5.56
the	4.98
dashboard	-1
i	5.92
ve	4.92
heard	5.36
reed	5.26
tell	5.42
him	5.54
and	5.22
the	4.98
poor	2.32
kid	6.84
do	5.76
me	6.58
i	5.92
drive	6.08
a	5.24
beat	4.2
up	6.14
volvo	-1
with	5.72
two	5.4
car	6.72
seat	5.86
in	5.5
the	4.98
back	5.18
a	5.24
kind	7.24
description	5.8
of	4.94
my	6.16
drive	6.08
would	5.38
be	5.68
impatient	-1
but	4.24
maybe	4.7
aggressive	3.8
be	5.68
more	6.24
accurate	6.67
i	5.92
take	5.18
turn	5.2
fast	6.44
and	5.22
when	4.96
i	5.92
get	5.92
excite	-1
about	5.16
something	5.0
i	5.92
go	5.54
even	5.58
faster	6.38
on	5.56
this	5.06
day	6.24
it	5.02
s	5.04
my	6.16
turn	5.2
to	4.98
drive	6.08
as	5.22
i	5.92
pull	4.74
into	5.04
the	4.98
parking	5.02
lot	5.78
reed	5.26
s	5.04
already	5.28
wait	3.74
huddle	-1
beneath	4.54
an	4.84
umbrella	5.92
lean	5.53
on	5.56
his	5.56
car	6.72
he	5.42
look	5.54
annoyed	2.58
you	6.24
re	4.88
late	3.46
he	5.42
say	5.54
shake	5.14
off	4.02
his	5.56
umbrella	5.92
as	5.22
he	5.42
slip	3.82
into	5.04
my	6.16
car	6.72
pick	5.6
a	5.24
crumple	-1
diet	4.62
coke	6.78
can	5.62
and	5.22
two	5.4
package	6.22
of	4.94
diaper	-1
off	4.02
the	4.98
front	5.58
seat	5.86
and	5.22
toss	5.42
them	4.92
into	5.04
the	4.98
back	5.18
traffic	3.34
s	5.04
go	5.54
to	4.98
be	5.68
terrible	2.84
with	5.72
all	6.22
the	4.98
rain	6.36
it	5.02
be	5.68
there	5.1
s	5.04
a	5.24
wreck	3.46
at	4.9
laurel	-1
curve	5.86
a	5.24
stall	-1
semi	5.27
at	4.9
the	4.98
summit	5.52
and	5.22
then	5.34
the	4.98
usual	5.22
silicon	-1
valley	6.26
traffic	3.34
coder	-1
and	5.22
executive	5.58
in	5.5
long	4.74
line	4.98
on	5.56
the	4.98
highway	5.48
like	7.22
ant	-1
return	5.2
to	4.98
an	4.84
anthill	-1
okay	6.56
i	5.92
say	5.54
but	4.24
i	5.92
ve	4.92
get	5.92
a	5.24
new	6.82
one	5.4
customize	-1
baseball	5.84
bat	5.3
totally	6.02
personalize	-1
and	5.22
unique	6.98
user	5.48
fill	5.7
out	4.62
their	5.16
information	6.48
online	6.72
then	5.34
we	6.38
use	5.64
a	5.24
computer	7.24
control	5.38
milling	-1
machine	5.38
to	4.98
craft	6.38
a	5.24
bat	5.3
to	4.98
their	5.16
exact	6.04
spec	-1
length	5.28
handle	5.54
thickness	5.7
size	5.04
of	4.94
the	4.98
barrel	5.42
all	6.22
one	5.4
of	4.94
a	5.24
kind	7.24
or	4.98
not	3.86
if	4.66
you	6.24
want	5.7
an	4.84
exact	6.04
re	4.88
creation	6.78
of	4.94
hank	-1
aaron	5.1
s	5.04
bat	5.3
we	6.38
could	5.52
do	5.76
that	4.94
too	5.22
reed	5.26
s	5.04
face	6.12
go	5.54
blank	4.44
it	5.02
s	5.04
an	4.84
expression	6.18
i	5.92
know	6.1
well	6.68
to	4.98
an	4.84
outside	5.8
observer	5.7
it	5.02
would	5.38
look	5.54
like	7.22
he	5.42
s	5.04
just	5.76
star	7.22
out	4.62
the	4.98
dirty	3.2
windshield	-1
at	4.9
the	4.98
redwood	-1
whiz	-1
by	4.98
or	4.98
the	4.98
subaru	-1
go	5.54
a	5.24
little	4.6
too	5.22
slowly	4.32
in	5.5
front	5.58
of	4.94
us	6.26
but	4.24
i	5.92
know	6.1
what	4.8
s	5.04
behind	4.42
that	4.94
look	5.54
a	5.24
rapid	5.8
fire	3.8
evaluation	5.32
of	4.94
pro	5.88
and	5.22
con	3.7
a	5.24
high	6.64
speed	6.24
cost	4.1
benefit	6.96
analysis	5.8
a	5.24
near	5.72
instantaneous	-1
predictive	-1
model	5.8
about	5.16
possible	6.24
risk	3.62
and	5.22
scalability	-1
five	5.24
second	5.38
go	5.54
by	4.98
then	5.34
ten	5.44
then	5.34
fifteen	5.86
after	5.08
about	5.16
thirty	5.79
second	5.38
he	5.42
turn	5.2
to	4.98
me	6.58
and	5.22
say	5.54
that	4.94
will	6.02
never	3.34
work	5.24
we	6.38
ve	4.92
be	5.68
do	5.76
this	5.06
for	5.22
a	5.24
few	4.5
week	5.08
reed	5.26
have	5.82
be	5.68
work	5.24
overtime	5.38
finalize	-1
a	5.24
huge	6.14
merger	5.1
that	4.94
will	6.02
put	5.04
us	6.26
both	5.9
out	4.62
of	4.94
a	5.24
job	5.96
and	5.22
once	4.94
the	4.98
dust	3.6
settle	5.08
from	5.18
that	4.94
i	5.92
m	5.06
planning	6.16
to	4.98
start	6.1
my	6.16
own	6.16
company	5.44
every	5.64
day	6.24
in	5.5
the	4.98
car	6.72
i	5.92
pitch	5.62
idea	7.06
to	4.98
reed	5.26
i	5.92
m	5.06
try	6.02
to	4.98
convince	5.78
him	5.54
to	4.98
come	5.82
on	5.56
board	4.76
as	5.22
an	4.84
advisor	-1
or	4.98
investor	5.94
and	5.22
i	5.92
can	5.62
tell	5.42
he	5.42
s	5.04
intrigue	-1
he	5.42
s	5.04
not	3.86
shy	4.46
about	5.16
give	6.54
me	6.58
feedback	5.88
he	5.42
know	6.1
a	5.24
good	7.2
thing	5.58
when	4.96
he	5.42
see	6.06
it	5.02
he	5.42
also	5.42
know	6.1
a	5.24
bad	2.64
thing	5.58
when	4.96
he	5.42
hears	5.71
it	5.02
and	5.22
my	6.16
morning	6.56
drive	6.08
idea	7.06
they	5.62
re	4.88
mostly	5.8
bad	2.64
idea	7.06
reed	5.26
swat	-1
this	5.06
one	5.4
away	4.22
just	5.76
like	7.22
he	5.42
do	5.76
the	4.98
others	5.22
it	5.02
s	5.04
impractical	-1
it	5.02
s	5.04
unoriginal	-1
it	5.02
will	6.02
never	3.34
work	5.24
also	5.42
baseball	5.84
s	5.04
popularity	6.84
be	5.68
wan	-1
with	5.72
young	6.82
people	6.16
he	5.42
say	5.54
as	5.22
we	6.38
roll	5.66
to	4.98
a	5.24
stop	3.9
behind	4.42
a	5.24
sand	5.86
truck	5.48
the	4.98
sand	5.86
be	5.68
on	5.56
its	4.96
way	5.24
to	4.98
san	5.02
jose	5.52
where	5.02
it	5.02
will	6.02
eventually	5.28
be	5.68
turn	5.2
into	5.04
concrete	5.6
for	5.22
road	5.86
and	5.22
building	5.94
in	5.5
boom	5.12
silicon	-1
valley	6.26
don	4.98
t	4.84
want	5.7
to	4.98
be	5.68
tie	5.5
to	4.98
a	5.24
decline	3.08
user	5.48
base	5.08
from	5.18
the	4.98
start	6.1
you	6.24
re	4.88
wrong	3.14
i	5.92
say	5.54
and	5.22
i	5.92
tell	5.42
him	5.54
why	4.98
i	5.92
ve	4.92
do	5.76
my	6.16
research	6.46
too	5.22
i	5.92
know	6.1
the	4.98
number	5.3
for	5.22
sport	6.64
good	7.2
sale	6.58
i	5.92
ve	4.92
look	5.54
into	5.04
baseball	5.84
bat	5.3
production	6.02
how	4.68
much	5.74
the	4.98
raw	4.24
material	5.62
cost	4.1
how	4.68
expensive	3.54
it	5.02
be	5.68
to	4.98
buy	6.28
and	5.22
operate	4.74
the	4.98
milling	-1
machine	5.38
and	5.22
okay	6.56
i	5.92
might	5.08
have	5.82
a	5.24
personal	6.06
connection	5.82
to	4.98
this	5.06
idea	7.06
my	6.16
old	3.98
son	7.12
just	5.76
finish	6.72
his	5.56
rookie	5.24
little	4.6
league	5.8
season	5.96
for	5.22
every	5.64
one	5.4
of	4.94
my	6.16
point	5.42
reed	5.26
have	5.82
an	4.84
answer	6.24
he	5.42
s	5.04
analytical	-1
rational	6.36
and	5.22
doesn	4.71
t	4.84
waste	2.7
time	5.74
with	5.72
nicety	-1
i	5.92
don	4.98
t	4.84
either	5.1
our	6.08
voice	5.76
be	5.68
raise	6.74
but	4.24
we	6.38
re	4.88
not	3.86
angry	2.32
it	5.02
s	5.04
an	4.84
argument	3.14
but	4.24
it	5.02
s	5.04
a	5.24
productive	6.7
one	5.4
each	5.4
of	4.94
us	6.26
understands	6.86
the	4.98
other	5.04
each	5.4
of	4.94
us	6.26
know	6.1
that	4.94
the	4.98
other	5.04
be	5.68
go	5.54
to	4.98
offer	6.62
stiff	4.63
uncompromising	-1
resistance	4.38
your	5.6
attachment	6.06
to	4.98
this	5.06
idea	7.06
isn	4.86
t	4.84
strictly	4.35
rational	6.36
he	5.42
say	5.54
and	5.22
i	5.92
almost	4.7
laugh	8.22
behind	4.42
his	5.56
back	5.18
i	5.92
ve	4.92
heard	5.36
people	6.16
compare	5.32
reed	5.26
to	4.98
spock	-1
i	5.92
don	4.98
t	4.84
think	6.2
they	5.62
mean	3.68
it	5.02
as	5.22
a	5.24
compliment	-1
but	4.24
they	5.62
should	5.24
in	5.5
star	7.22
trek	5.48
spock	-1
be	5.68
almost	4.7
always	6.48
right	6.54
and	5.22
reed	5.26
be	5.68
too	5.22
if	4.66
he	5.42
think	6.2
something	5.0
won	8.1
t	4.84
work	5.24
it	5.02
probably	5.64
won	8.1
t	4.84
the	4.98
first	6.82
time	5.74
i	5.92
met	5.82
reed	5.26
we	6.38
be	5.68
take	5.18
a	5.24
cross	4.68
country	6.28
plane	6.3
trip	7.0
from	5.18
san	5.02
francisco	5.6
to	4.98
boston	5.76
reed	5.26
have	5.82
just	5.76
acquire	6.36
my	6.16
company	5.44
but	4.24
we	6.38
d	4.72
never	3.34
spent	4.76
any	5.22
meaningful	-1
time	5.74
alone	3.32
together	6.8
i	5.92
d	4.72
be	5.68
sit	5.36
at	4.9
the	4.98
gate	5.18
wait	3.74
to	4.98
board	4.76
reading	6.78
through	5.62
a	5.24
binder	-1
of	4.94
material	5.62
on	5.56
memory	6.46
leak	-1
detector	-1
and	5.22
software	6.3
version	5.28
management	4.76
when	4.96
someone	5.3
tapped	-1
my	6.16
shoulder	5.46
it	5.02
be	5.68
reed	5.26
where	5.02
be	5.68
you	6.24
sit	5.36
he	5.42
d	4.72
ask	5.2
frown	3.24
at	4.9
my	6.16
paper	5.8
ticket	5.32
when	4.96
i	5.92
told	5.08
him	5.54
he	5.42
take	5.18
my	6.16
ticket	5.32
march	5.78
to	4.98
the	4.98
counter	5.44
and	5.22
upgraded	-1
me	6.58
to	4.98
first	6.82
class	5.52
that	4.94
be	5.68
nice	7.38
i	5.92
thought	6.38
i	5.92
ll	4.82
get	5.92
a	5.24
chance	6.44
to	4.98
read	6.52
relax	7.7
a	5.24
little	4.6
maybe	4.7
even	5.58
get	5.92
a	5.24
little	4.6
sleep	7.16
but	4.24
that	4.94
be	5.68
my	6.16
first	6.82
lesson	5.3
about	5.16
reed	5.26
when	4.96
the	4.98
flight	6.06
attendant	-1
come	5.82
he	5.42
d	4.72
wave	6.34
away	4.22
the	4.98
free	7.96
mimosa	-1
turn	5.2
his	5.56
body	5.96
ninety	-1
degree	6.26
and	5.22
lock	4.58
eye	6.14
with	5.72
me	6.58
then	5.34
for	5.22
the	4.98
next	5.62
five	5.24
and	5.22
a	5.24
half	4.6
hour	5.32
he	5.42
d	4.72
give	6.54
an	4.84
exhaustive	-1
overview	5.36
of	4.94
the	4.98
state	5.28
of	4.94
our	6.08
business	5.94
barely	4.24
pause	5.1
to	4.98
take	5.18
a	5.24
sip	5.56
of	4.94
sparkle	7.08
water	6.7
i	5.92
d	4.72
hardly	3.98
gotten	5.42
a	5.24
word	5.56
in	5.5
edgewise	-1
but	4.24
i	5.92
didn	4.8
t	4.84
care	6.64
it	5.02
be	5.68
one	5.4
of	4.94
the	4.98
most	6.22
brilliant	7.68
business	5.94
analysis	5.8
i	5.92
d	4.72
ever	5.42
heard	5.36
like	7.22
be	5.68
hooked	4.94
up	6.14
to	4.98
a	5.24
supercomputer	-1
we	6.38
re	4.88
not	3.86
in	5.5
first	6.82
class	5.52
anymore	4.56
we	6.38
re	4.88
in	5.5
a	5.24
volvo	-1
that	4.94
could	5.52
use	5.64
a	5.24
wash	5.74
but	4.24
i	5.92
still	5.14
find	6.0
reed	5.26
s	5.04
mind	6.04
fascinate	-1
and	5.22
his	5.56
demeanor	-1
refresh	-1
i	5.92
m	5.06
grateful	7.36
for	5.22
his	5.56
advice	6.22
for	5.22
the	4.98
consult	-1
i	5.92
m	5.06
get	5.92
for	5.22
free	7.96
on	5.56
these	5.1
ride	6.14
over	4.82
the	4.98
hill	5.98
into	5.04
silicon	-1
valley	6.26
and	5.22
back	5.18
by	4.98
total	5.78
luck	7.26
i	5.92
ve	4.92
end	4.36
up	6.14
in	5.5
the	4.98
same	5.36
company	5.44
and	5.22
the	4.98
same	5.36
town	5.88
with	5.72
someone	5.3
who	5.06
understands	6.86
my	6.16
vision	6.62
and	5.22
can	5.62
provide	6.4
invaluable	-1
help	6.08
not	3.86
to	4.98
mention	5.32
saving	6.96
on	5.56
gas	4.76
but	4.24
it	5.02
s	5.04
still	5.14
frustrate	-1
to	4.98
hear	5.84
that	4.94
an	4.84
idea	7.06
i	5.92
ve	4.92
spent	4.76
a	5.24
week	5.08
research	6.46
be	5.68
totally	6.02
unfeasible	-1
a	5.24
part	4.98
of	4.94
me	6.58
be	5.68
start	6.1
to	4.98
wonder	7.08
if	4.66
