	-1
interview	5.06
october	5.88
pape	-1
side	5.12
a	5.24
hughes	5.06
you	6.24
be	5.68
at	4.9
abbott	-1
from	5.18
to	4.98
and	5.22
your	5.6
education	6.88
be	5.68
in	5.5
physical	5.88
chemistry	6.14
rathmann	-1
yes	6.74
hughes	5.06
so	5.08
how	4.68
do	5.76
the	4.98
jump	5.48
from	5.18
a	5.24
chemical	4.18
background	5.42
into	5.04
the	4.98
medical	4.72
field	5.88
happen	5.28
rathmann	-1
well	6.68
first	6.82
i	5.92
be	5.68
a	5.24
premed	-1
when	4.96
i	5.92
be	5.68
at	4.9
northwestern	-1
and	5.22
have	5.82
intend	-1
to	4.98
go	5.54
into	5.04
medicine	5.08
they	5.62
wouldn	4.4
t	4.84
admit	4.74
me	6.58
when	4.96
i	5.92
be	5.68
eighteen	6.24
and	5.22
that	4.94
be	5.68
enough	5.46
of	4.94
a	5.24
blow	4.48
to	4.98
me	6.58
that	4.94
i	5.92
decide	5.84
i	5.92
would	5.38
consider	5.56
a	5.24
ph	5.18
d	4.72
in	5.5
physical	5.88
chemistry	6.14
and	5.22
i	5.92
have	5.82
an	4.84
advisor	-1
give	6.54
me	6.58
that	4.94
story	6.48
though	4.78
i	5.92
be	5.68
admit	4.74
to	4.98
medical	4.72
school	6.26
finally	5.58
at	4.9
the	4.98
end	4.36
of	4.94
my	6.16
third	5.3
year	5.38
at	4.9
northwestern	-1
i	5.92
be	5.68
hop	5.6
to	4.98
get	5.92
in	5.5
at	4.9
the	4.98
end	4.36
of	4.94
my	6.16
second	5.38
year	5.38
and	5.22
that	4.94
be	5.68
not	3.86
successful	8.16
so	5.08
they	5.62
admit	4.74
me	6.58
at	4.9
the	4.98
end	4.36
of	4.94
my	6.16
third	5.3
year	5.38
and	5.22
i	5.92
paid	7.14
my	6.16
fifty	5.71
dollar	7.02
admission	5.78
fee	3.46
but	4.24
i	5.92
never	3.34
go	5.54
back	5.18
i	5.92
go	5.54
to	4.98
princeton	5.74
to	4.98
get	5.92
a	5.24
ph	5.18
d	4.72
but	4.24
the	4.98
medical	4.72
interest	6.36
be	5.68
there	5.1
right	6.54
from	5.18
the	4.98
begin	6.28
so	5.08
it	5.02
s	5.04
not	3.86
something	5.0
brand	5.58
new	6.82
then	5.34
w	4.86
hen	-1
i	5.92
graduate	7.08
from	5.18
princeton	5.74
because	5.0
have	5.82
a	5.24
very	6.12
stimulate	-1
set	5.58
of	4.94
course	5.42
in	5.5
polymer	-1
i	5.92
go	5.54
in	5.5
the	4.98
polymer	-1
direction	5.54
at	4.9
m	5.06
minnesota	5.24
mining	4.84
and	5.22
manufacturing	5.66
company	5.44
rather	4.98
than	4.74
the	4.98
medical	4.72
direction	5.54
i	5.92
have	5.82
a	5.24
lot	5.78
of	4.94
knowledge	7.24
and	5.22
extreme	5.12
curiosity	-1
about	5.16
polymer	-1
those	4.94
be	5.68
fairly	6.28
early	5.66
day	6.24
for	5.22
polymer	-1
some	5.02
of	4.94
the	4.98
great	7.88
work	5.24
have	5.82
just	5.76
be	5.68
do	5.76
in	5.5
the	4.98
precede	-1
eight	5.3
or	4.98
nine	5.42
year	5.38
the	4.98
theory	5.42
have	5.82
be	5.68
developed	6.36
and	5.22
then	5.34
the	4.98
ability	6.68
to	4.98
make	6.0
thing	5.58
like	7.22
fiber	-1
and	5.22
so	5.08
on	5.56
be	5.68
now	5.9
at	4.9
hand	5.9
and	5.22
it	5.02
hadn	4.52
t	4.84
be	5.68
ten	5.44
year	5.38
before	5.1
so	5.08
there	5.1
be	5.68
excite	-1
opportunity	7.14
in	5.5
polymer	-1
i	5.92
have	5.82
a	5.24
bunch	5.7
of	4.94
different	5.38
choice	6.24
at	4.9
m	5.06
they	5.62
offer	6.62
me	6.58
a	5.24
job	5.96
in	5.5
the	4.98
electrical	5.54
chemical	4.18
area	5.44
and	5.22
the	4.98
chemical	4.18
area	5.44
and	5.22
the	4.98
polymer	-1
area	5.44
and	5.22
i	5.92
just	5.76
picked	6.08
the	4.98
polymer	-1
one	5.4
then	5.34
i	5.92
stayed	5.4
in	5.5
that	4.94
field	5.88
for	5.22
about	5.16
ten	5.44
year	5.38
hughes	5.06
as	5.22
a	5.24
young	6.82
man	5.9
with	5.72
a	5.24
fresh	7.26
degree	6.26
you	6.24
have	5.82
the	4.98
choice	6.24
of	4.94
what	4.8
field	5.88
you	6.24
would	5.38
go	5.54
into	5.04
at	4.9
m	5.06
rathmann	-1
well	6.68
yes	6.74
it	5.02
be	5.68
a	5.24
good	7.2
year	5.38
for	5.22
hire	6.5
in	5.5
other	5.04
word	5.56
they	5.62
be	5.68
look	5.54
to	4.98
hire	6.5
people	6.16
that	4.94
year	5.38
that	4.94
be	5.68
it	5.02
hadn	4.52
t	4.84
always	6.48
be	5.68
that	4.94
way	5.24
there	5.1
would	5.38
be	5.68
up	6.14
and	5.22
down	3.66
year	5.38
as	5.22
we	6.38
would	5.38
visit	6.54
some	5.02
of	4.94
these	5.1
company	5.44
we	6.38
would	5.38
find	6.0
that	4.94
there	5.1
be	5.68
year	5.38
that	4.94
they	5.62
wouldn	4.4
t	4.84
hire	6.5
anybody	4.96
but	4.24
that	4.94
year	5.38
dupont	-1
be	5.68
hire	6.5
a	5.24
lot	5.78
of	4.94
people	6.16
i	5.92
have	5.82
three	5.72
job	5.96
offer	6.62
at	4.9
dupont	-1
and	5.22
i	5.92
have	5.82
three	5.72
different	5.38
one	5.4
at	4.9
m	5.06
and	5.22
i	5.92
have	5.82
a	5.24
job	5.96
offer	6.62
from	5.18
every	5.64
one	5.4
but	4.24
one	5.4
company	5.44
so	5.08
it	5.02
be	5.68
a	5.24
good	7.2
year	5.38
to	4.98
be	5.68
hire	6.5
hughes	5.06
the	4.98
offer	6.62
come	5.82
on	5.56
the	4.98
basis	5.38
of	4.94
your	5.6
dissertation	-1
work	5.24
rathmann	-1
no	3.48
i	5.92
be	5.68
just	5.76
a	5.24
warm	6.72
body	5.96
and	5.22
i	5.92
be	5.68
